,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
0,ds1,s1,movie,duck the halls: a mickey mouse christmas special,"alonso ramirez ramos, dave wasson","chris diamantopoulos, tony anselmo, tress macneille, bill farmer, russi taylor, corey burton",,2021-11-26,2016,tv-g,23 min,"animation, family",join mickey and the gang as they duck the halls!,100,23,min
1,ds2,s2,movie,ernest saves christmas,john cherry,"jim varney, noelle parker, douglas seale",,2021-11-26,1988,pg,91 min,comedy,santa claus passes his magic bag to a new st. nic.,17,91,min
2,ds3,s3,movie,ice age: a mammoth christmas,karen disher,"raymond albert romano, john leguizamo, denis leary, queen latifah",united states,2021-11-26,2011,tv-g,23 min,"animation, comedy, family",sid the sloth is on santa's naughty list.,92,23,min
3,ds4,s4,movie,the queen family singalong,hamish hamilton,"darren criss, adam lambert, derek hough, alexander jean, fall out boy, jimmie allen",,2021-11-26,2021,tv-pg,41 min,musical,"this is real life, not just fantasy!",35,41,min
4,ds5,s5,tv show,the beatles: get back,,"john lennon, paul mccartney, george harrison, ringo starr",,2021-11-25,2021,g,1 Season,"docuseries, historical, music",a three-part documentary from peter jackson capturing a moment in music history with the beatles.,11,1,season
5,ds6,s6,movie,becoming cousteau,liz garbus,"jacques yves cousteau, vincent cassel",united states,2021-11-24,2021,pg-13,94 min,"biographical, documentary",an inside look at the legendary life of adventurer jacques-yves cousteau.,18,94,min
6,ds7,s7,tv show,hawkeye,,"jeremy renner, hailee steinfeld, vera farmiga, fra fee, tony dalton, zahn mcclarnon",,2021-11-24,2021,tv-14,1 Season,"action-adventure, superhero",clint barton/hawkeye must team up with skilled archer kate bishop to unravel a criminal conspiracy.,98,1,season
7,ds8,s8,tv show,port protection alaska,,"gary muehlberger, mary miller, curly leach, sam carlson, stuart andrews, david squibb",united states,2021-11-24,2015,tv-14,2 Seasons,"docuseries, reality, survival",residents of port protection must combat volatile conditions to survive and thrive in alaska.,60,2,season
8,ds9,s9,tv show,secrets of the zoo: tampa,,"dr. ray ball, dr. lauren smith, chris massaro, tiffany burns, mike burns, melinda mendolusky",united states,2021-11-24,2019,tv-pg,2 Seasons,"animals & nature, docuseries, family",a day in the life at zootampa is anything but ordinary. it's extraordinary!,53,2,season
9,ds10,s10,movie,a muppets christmas: letters to santa,kirk r. thatcher,"steve whitmire, dave goelz, bill barretta, eric jacobson",united states,2021-11-19,2008,g,45 min,"comedy, family, musical",celebrate the holiday season with all your favorite muppets.,7,45,min
10,ds11,s11,movie,adventure thru the walt disney archives,john gleim,"don hahn, kathryn beaumont, pete docter, kevin feige, mark hamill, bob iger",,2021-11-19,2020,tv-pg,59 min,documentary,explore the treasures and rich history of the walt disney archives.,17,59,min
11,ds12,s12,movie,puppy for hanukkah,,,,2021-11-19,2020,tv-g,4 min,"comedy, family, music","check out daveed digg's official music video ""puppy for hanukkah!""",85,4,min
12,ds13,s13,movie,the pixar story,leslie iwerks,"stacy keach, john lasseter, brad bird, john musker, ron clements, frank thomas",united states,2021-11-19,2007,g,91 min,"documentary, family",a groundbreaking company forever changes the face of filmmaking.,98,91,min
13,ds14,s14,tv show,"dr. oakley, yukon vet",,"dr. michelle oakley, zachary fine",united states,2021-11-17,2013,tv-pg,10 Seasons,"action-adventure, animals & nature, docuseries","meet dr. michelle oakley, vet to pretty much everything that moves in the rugged yukon.",89,10,season
14,ds15,s15,movie,america the beautiful,,michael b. jordan,,2021-11-12,2021,tv-pg,2 min,animals & nature,"epic, grand portrait of the land across four regions on the most extreme continent. coming in 2022.",72,2,min
15,ds16,s16,movie,baymax!,,,,2021-11-12,2021,tv-g,1 min,animation,“baymax!” premieres on disney+ summer 2022.,49,1,min
16,ds17,s17,movie,ciao alberto,mckenna harris,"jack dylan grazer, marco barricelli",,2021-11-12,2021,tv-pg,8 min,"animation, comedy, family",fun-loving sea monster alberto whole-heartedly wants to prove himself to his stoic mentor massimo.,97,8,min
17,ds18,s18,tv show,disney fancy nancy,,"mia jenness, alyson hannigan, rob riggle, spencer moss, dana heath","united states, canada",2021-11-12,2018,tv-pg,3 Seasons,"animation, kids",nancy makes every day extraordinary!,21,3,season
18,ds19,s19,tv show,disney intertwined,,"carolina domenech, josé jiménez zapiola, kevsho, elena roger, clara alonso, emilia mernes",,2021-11-12,2021,tv-pg,1 Season,"comedy, coming of age, drama",allegra is ready to change the past in order to reach her dream.,46,1,season
19,ds20,s20,movie,enchanted,kevin lima,"amy adams, patrick dempsey, james marsden, timothy spall, idina menzel, susan sarandon",united states,2021-11-12,2007,pg,110 min,"comedy, family, fantasy",an animated princess winds up in the real world of modern-day manhattan.,23,110,min
