,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
0,hs1,s1,movie,ricky velez: here's everything,,,,2021-10-24,2021,tv-ma,,"comedy, stand up",​comedian ricky velez bares it all with his honest lens and down to earth perspective in his first-ever hbo stand-up special.,48,,
1,hs2,s2,movie,silent night,,,,2021-10-23,2020,g,94 min,"crime, drama, thriller","mark, a low end south london hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by alan, his former cellmate, to do one final job.",8,94,min
2,hs3,s3,movie,the marksman,,,,2021-10-23,2021,pg-13,108 min,"action, thriller",a hardened arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,8,108,min
3,hs4,s4,movie,gaia,,,,2021-10-22,2021,r,97 min,horror,a forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,33,97,min
4,hs5,s5,movie,settlers,,,,2021-10-22,2021,g,104 min,"science fiction, thriller",mankind's earliest settlers on the martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,24,104,min
5,hs6,s6,tv show,the halloween candy magic pet,,,,2021-10-22,2021,g,1 Season,"family, kids","join mila and morphle on a mystery-filled halloween adventure! jam packed with morphs, costumes, twists turns and spooky morphing fun. this 22-minute halloween special will be a kooky, spooky ride! we meet new magic pet candyray who can turn anything or anyone into candy! we also meet felipe at the farm, who joins our heroes on their crazy adventure in his corn maze. there's a race against time to decorate the magic pet center in time for the halloweenist house contest, but with orphle and the bandits getting in their way...it won't be easy. perhaps candyray holds the key!",45,1,season
6,hs7,s7,movie,the evil next door,,,,2021-10-21,2020,g,88 min,"horror, thriller","new to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son lucas. soon, strange noises start coming from the empty house adjoining theirs. also, who is lucas’s new friend?",37,88,min
7,hs8,s8,tv show,the next thing you eat,,,,2021-10-21,2021,g,1 Season,"cooking & food, documentaries, lifestyle & culture","with the unique insights and experience of ugly delicious creators morgan neville and david chang take a tangy look at food and our relationship to it past, present and future. why do we eat what we eat and are we missing something better? what will we be eating in the future and why?",76,1,season
8,hs9,s9,tv show,queens,,,,2021-10-20,2021,tv-14,1 Season,"drama, music",four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,57,1,season
9,hs10,s10,tv show,the bachelorette,,,united states,2021-10-20,2003,tv-14,3 Seasons,"reality, romance","abc's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.",79,3,season
10,hs11,s11,tv show,the real queens of hip-hop: the women who changed the game,,,,2021-10-19,2021,g,1 Season,"music, news",the abc news special explores the inspiring rise of women in hip-hop and is narrated by cheryl “salt” james of salt-n-pepa.,28,1,season
11,hs12,s12,movie,dream horse,,,,2021-10-18,2020,pg,113 min,"comedy, drama",the film tells the inspiring true story of a small town bartender who decides to breed a racehorse. the community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,34,113,min
